SKU_ID,Bin_ID
SKU-10000,D01-A-01
SKU-10001,C01-A-01
SKU-10002,A01-A-01
SKU-10003,B05-C-05
SKU-10004,D01-A-01
SKU-10005,D01-A-01
SKU-10006,A01-F-01
SKU-10007,A01-F-01
SKU-10008,F05-A-03
SKU-10009,D01-A-01
SKU-10010,D01-A-01
SKU-10011,D01-A-01
SKU-10012,D01-A-01
SKU-10013,C01-A-01
SKU-10014,A01-A-01
SKU-10015,D01-A-01
SKU-10016,D01-A-01
SKU-10017,A01-F-01
SKU-10018,A24-A-01
SKU-10019,D01-A-01
SKU-10020,C01-A-01
SKU-10021,A01-A-01
SKU-10022,A01-A-01
SKU-10023,D01-A-01
SKU-10024,C01-A-01
SKU-10025,A01-A-01
SKU-10026,A01-A-01
SKU-10027,C01-A-01
SKU-10028,D01-A-01
SKU-10029,D01-A-01
SKU-10030,D01-A-01
SKU-10031,D01-A-01
SKU-10032,D01-A-01
SKU-10033,A01-A-01
SKU-10034,C01-A-01
SKU-10035,D01-A-01
SKU-10036,D01-A-01
SKU-10037,D01-A-01
SKU-10038,D01-A-01
SKU-10039,A01-F-01
SKU-10040,A01-F-01
SKU-10041,A01-A-01
SKU-10042,A01-A-01
SKU-10043,D01-A-01
SKU-10044,D01-A-01
SKU-10045,A01-A-01
SKU-10046,A01-A-01
SKU-10047,A01-A-01
SKU-10048,C01-A-01
SKU-10049,D01-A-01
SKU-10050,D01-A-01
SKU-10051,D01-A-01
SKU-10052,C13-C-06
SKU-10053,A01-A-01
SKU-10054,C01-A-01
SKU-10055,A01-F-01
SKU-10056,D01-A-01
SKU-10057,D01-A-01
SKU-10058,D01-A-01
SKU-10059,A01-A-01
SKU-10060,D01-A-01
SKU-10061,A01-A-01
SKU-10062,D01-A-01
SKU-10063,A01-F-01
SKU-10064,D01-A-01
SKU-10065,C01-A-01
SKU-10066,C01-A-01
SKU-10067,C01-A-01
SKU-10068,D01-A-01
SKU-10069,D01-A-01
SKU-10070,C01-A-01
SKU-10071,D01-A-01
SKU-10072,D01-A-01
SKU-10073,A01-A-01
SKU-10074,D01-A-01
SKU-10075,D01-A-01
SKU-10076,C01-A-01
SKU-10077,A01-A-01
SKU-10078,A01-A-01
SKU-10079,D01-A-01
SKU-10080,A01-F-01
SKU-10081,A01-F-01
SKU-10082,C01-A-01
SKU-10083,D01-A-01
SKU-10084,D01-A-01
SKU-10085,A01-A-01
SKU-10086,F14-E-04
SKU-10087,D01-A-01
SKU-10088,C01-A-01
SKU-10089,A01-F-01
SKU-10090,D01-A-01
SKU-10091,D01-A-01
SKU-10092,D01-A-01
SKU-10093,A01-F-01
SKU-10094,D01-A-01
SKU-10095,A01-A-01
SKU-10096,A01-A-01
SKU-10097,D01-A-01
SKU-10098,D01-A-01
SKU-10099,D01-A-01
SKU-10100,A01-A-01
SKU-10101,A01-A-01
SKU-10102,A01-F-01
SKU-10103,B17-F-14
SKU-10104,D01-A-01
SKU-10105,D01-A-01
SKU-10106,C01-A-01
SKU-10107,A01-D-15
